venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,crossref_lookup_status,crossref_match_title,crossref_match_issn,crossref_match_publisher,crossref_total_dois,crossref_lookup_note,example_titles
Discover Computing,1,1,0,1,OpenAlex,exact_crossref_journal_match,Discover Computing,2948-2992,Springer-Verlag,748,,"An examination of IIoT and fog computing architectures, applications and challenges from IoT to Industry 4.0"
Discover Materials,1,1,0,1,OpenAlex,exact_crossref_journal_match,Discover Materials,2730-7727,Springer-Verlag,724,,"A review of computational modeling, artificial intelligence, and digital twins in metal casting and foundry operations"
Discover Nano,1,1,1,0,OpenAlex,exact_crossref_journal_match,Discover Nano,2731-9229,Springer (Biomed Central Ltd.),885,,Transformative bioprinting: 4D printing and its role in the evolution of engineering and personalized medicine
Discover Plants.,1,1,1,0,OpenAlex,exact_crossref_journal_match,Discover Plants,3005-1207,Springer-Verlag,690,,"A review of AI-driven phenomics, genomics, and predictive breeding in wheat"
Electrophoresis,1,1,1,0,OpenAlex,exact_crossref_journal_match,Electrophoresis,0173-0835; 1522-2683,Wiley (John Wiley & Sons),17618,,"Microfluidic‐ and Field‐Assisted 3D Printing: Leveraging Fluidic Control, Electrokinetic Phenomena, and Other Physical Fields to Advance Additive Manufacturing"
Encyclopedia,1,1,1,0,OpenAlex,exact_crossref_journal_match,Encyclopedia,2309-3366,MDPI AG,0,,Digital Tools in Aluminum Alloy Processing
Energies,1,1,1,0,OpenAlex,exact_crossref_journal_match,Energies,1996-1073,MDPI AG,62860,,Assessment of the State and Development Trends of Centrifugal Compressors for Marine Power Plants
Energy and AI,1,1,0,1,OpenAlex,exact_crossref_journal_match,Energy and AI,2666-5468,Elsevier,759,,Bridging data-driven and physics-based models for lithium-ion battery state analysis and future performance assessment via active material volume fraction
Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Engineering,1947-3931; 1947-394X,"Scientific Research Publishing, Inc.",1623,,3D and 4D Printing of Electromagnetic Metamaterials
Engineering Applications of Artificial Intelligence,1,1,0,1,OpenAlex,exact_crossref_journal_match,Engineering Applications of Artificial Intelligence,0952-1976,Elsevier,13899,,Active learning with neural ordinary differential equations for data-efficient modeling of tuned mass dampers
Eng—Advances in Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Eng—Advances in Engineering,2673-4117,MDPI AG,1131,,"Next-Generation Manufacturing Technologies for High-Performance Turbomachinery Blades: Trends, Challenges, and Future Directions"
Enterprise Information Systems,1,1,1,0,OpenAlex,exact_crossref_journal_match,Enterprise Information Systems,1751-7575; 1751-7583,Informa UK (Taylor & Francis),955,,A hybrid self-evolving edge-AI framework for scalable digital process twins in enterprise systems
European Journal of Dentistry,1,1,1,0,OpenAlex,exact_crossref_journal_match,European Journal of Dentistry,1305-7456; 1305-7464,Georg Thieme Verlag KG,2144,,Precision and Customization: The Role of 3D Printing in Modern Prosthodontics
European Journal of Surgical Oncology,1,1,0,1,OpenAlex,exact_crossref_journal_match,European Journal of Surgical Oncology,0748-7983,Elsevier,20894,,Digital twins in urological oncology and surgery: A review of emerging applications
F1000Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,F1000Research,2046-1402,F1000 Research Ltd,18065,,Digital transformation as a driver of operational sustainability in manufacturing: a systematic review (2015–2025)
Far East Journal of Experimental and Theoretical Artificial Intelligence,1,1,0,1,OpenAlex,exact_crossref_journal_match,Far East Journal of Experimental and Theoretical Artificial Intelligence,0974-3251,Pushpa Publishing House,5,,AI-ENABLED DIGITAL TWIN FRAMEWORK FOR MECHANICAL COMPONENTS OF ELECTROMECHANICAL SYSTEMS WITH DISTRIBUTED PARAMETERS
Fashion and Textiles,1,1,0,1,OpenAlex,exact_crossref_journal_match,Fashion and Textiles,2198-0802; 2198-0802,Springer (Biomed Central Ltd.),450,,Characterization of thermo-responsive shape memory bio-based thermoplastic polyurethane (SMTPU) for 3D/4D printing applications
Fibers,1,1,0,1,OpenAlex,exact_crossref_journal_match,Fibers,2079-6439,MDPI AG,1091,,Research Progress on Advanced Molding Technologies for Carbon Fiber-Reinforced Polymer Composites: Defect Control and Process Optimization
FinTech,1,1,0,1,OpenAlex,exact_crossref_journal_match,FinTech,2674-1032,MDPI AG,232,,Blockchain-Secured Digital Twin Framework for Fuzzy Multi-Objective Optimization in Supply Chain Finance
Frontiers in Artificial Intelligence,1,1,0,1,OpenAlex,exact_crossref_journal_match,Frontiers in Artificial Intelligence,2624-8212,Frontiers Media SA,2253,,Hybrid physics-informed artificial intelligence for high-fidelity modeling and optimization of electrical systems
Frontiers in Computer Science,1,1,0,1,OpenAlex,exact_crossref_journal_match,Frontiers in Computer Science,2624-9898,Frontiers Media SA,1072,,Explainable AI framework for psilocybin depression treatment optimization
Frontiers in Digital Health,1,1,0,1,OpenAlex,exact_crossref_journal_match,Frontiers in Digital Health,2673-253X,Frontiers Media SA,1928,,Multi-scale digital twins for personalized medicine
Frontiers in Drug Delivery,1,1,1,0,OpenAlex,exact_crossref_journal_match,Frontiers in Drug Delivery,2674-0850,Frontiers Media SA,124,,Advancing transdermal drug delivery through 4D bioprinting and dynamic skin modelling
Frontiers in Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Frontiers in Engineering,3104-4298; 3104-4301,Erytis Publishing Limited,19,,Analysis of Fault Diagnosis and Safety Protection Technologies for New Energy Vehicle Battery Systems
Frontiers in Materials,1,1,1,0,OpenAlex,exact_crossref_journal_match,Frontiers in Materials,2296-8016,Frontiers Media SA,3964,,Bridging processing and performance in Ti–6Al–4V: WAAM parameters and wear behavior across traditional and additive manufacturing routes
Frontiers in Pharmacology,1,1,1,0,OpenAlex,exact_crossref_journal_match,Frontiers in Pharmacology,1663-9812,Frontiers Media SA,31093,,AI-driven pilot platforms and computational pharmaceutics: accelerating innovation in small molecule drug development under industry 4.0 and 5.0 paradigms
Frontiers in Smart Grids,1,1,0,1,OpenAlex,exact_crossref_journal_match,Frontiers in Smart Grids,2813-4311,Frontiers Media SA,24,,A systematic literature review on the use of digital twin technology in electrical engineering research and applications
Frontiers in Sustainable Cities,1,1,0,1,OpenAlex,exact_crossref_journal_match,Frontiers in Sustainable Cities,2624-9634,Frontiers Media SA,1019,,"Digital twins for sustainable urban energy systems: a systematic review of market mechanisms, flexibility, and coordination at the district scale"
Frontiers in Systems Biology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Frontiers in Systems Biology,2674-0702,Frontiers Media SA,189,,Multilayer network approaches to omics data integration in digital twins for cancer research
Future Edge Journal of Progressive Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,Future Edge Journal of Progressive Research,3108-1096,Padmashri DR. V. B. Kolte College of Engineering,1,,Advancements in Non-Conventional Manufacturing: Process Optimization and Applications
Future Internet,1,1,0,1,OpenAlex,exact_crossref_journal_match,Future Internet,1999-5903,MDPI AG,3498,,A Physics-Aware Latent Diffusion Framework for Mitigating Adversarial Perturbations in Manufacturing Quality Control
Future Journal of Pharmaceutical Sciences,1,1,0,1,OpenAlex,exact_crossref_journal_match,Future Journal of Pharmaceutical Sciences,2314-7245,Springer (Biomed Central Ltd.),82,,"Recent advances in 3D and 4D printing in pharmaceutical technology: applications, challenges, and future perspectives"
Gazi Journal of Engineering Sciences,1,1,1,0,OpenAlex,exact_crossref_journal_match,Gazi Journal of Engineering Sciences,2149-9373; 2149-9373,Gazi Publishing,332,,2-D Geometric Accuracy Investigation of Vat-Photopolymerisation Printed Yttrium Stabilised Zirconia Ceramics
Global Journal of Engineering and Technology Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Global Journal of Engineering and Technology Research,3051-3774; 3051-3782,EP-Journals,46,,Predictive Safety Analytics Model for Early Detection of High-Risk Construction Activities
Hans Journal of Biomedicine,1,1,0,1,OpenAlex,exact_crossref_journal_match,Hans Journal of Biomedicine,2161-8976; 2161-8984,Hans Publishers,488,,Research Progress of Shape Memory Polymers in Biomedical Applications
Ibero Ciencias - Revista Científica y Académica - ISSN 3072-7197,1,1,0,1,OpenAlex,exact_crossref_journal_match,Ibero Ciencias - Revista Científica y Académica - ISSN 3072-7197,3072-7197,Editorial Ibero Ciencias,1042,,Tendencias Transdisciplinarias de Integración de Tecnologías Digitales: Gemelos Digitales y Manufactura Aditiva
ICST Transactions on Security and Safety,1,1,1,0,OpenAlex,exact_crossref_journal_match,ICST Transactions on Security and Safety,2032-9393,European Alliance for Innovation n.o.,137,,Enhancing Information Security in Industry 5.0: A Human-Centric LL-ISMS Framework to Bridge PDCA Gaps&lt;b&gt;&lt;/b&gt;
IEEE Sensors Journal,1,1,1,0,OpenAlex,exact_crossref_journal_match,IEEE Sensors Journal,1530-437X; 1558-1748; 2379-9153,Institute of Electrical and Electronics Engineers,31579,,TacPalm: A Soft Gripper With a Biomimetic Optical Tactile Palm for Stable Precise Grasping
IET conference proceedings.,1,1,1,0,OpenAlex,exact_crossref_journal_match,IET Conference Proceedings,2732-4494,Institution of Engineering and Technology (IET),18862,,Low-cost online dimensional quality monitoring in 3D Printing using standardised cyber-physical production architecture
IET Cyber-Systems and Robotics,1,1,1,0,OpenAlex,exact_crossref_journal_match,IET Cyber-Systems and Robotics,2631-6315; 2631-6315; 2097-3608,Institution of Engineering and Technology (IET),223,,3D‐printed biomimetic and bioinspired soft actuators
Imaging and Radiation Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Imaging and Radiation Research,2578-1618; 2578-1618,EnPress Publisher,104,,"Scheduling and realizing image-assisted robotic processes fusing adapted, minimally invasive, harmless and truthful therapies"
Indian Journal of Chemical Technology,1,1,1,0,OpenAlex,exact_crossref_journal_match,Indian Journal of Chemical Technology,0971-457X; 0975-0991,CSIR-National Institute of Science Communication and Policy Research (NIScPR),526,,Hydrogel-based bio-inks: Current progress and future directions in 3D printing
Indian Journal of Science and Technology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Indian Journal of Science and Technology,0974-6846; 0974-5645,Indian Society for Education and Environment,15575,,Comparative Study of Cartesian and Polar 3D Printer Architectures by Mathematical Modelling
Industries,1,1,0,1,OpenAlex,exact_crossref_journal_match,Industries,3042-9021,MDPI AG,3,,Physics-Informed Machine Learning for Property Prediction and Process Optimization in Additively Manufactured Filled Polymer Composites: A Bayesian Optimization Approach
iNew Medicine,1,1,1,0,OpenAlex,exact_crossref_journal_match,iNew Medicine,3067-2775; 3067-2767,Wiley (John Wiley & Sons),65,,Beyond a Conduit: The Evolution of Functional Biliary Stents From Active Intervention to Enabling Platforms
Infrastructures,1,1,0,1,OpenAlex,exact_crossref_journal_match,Infrastructures,2412-3811,MDPI AG,1611,,"Digitalised Predictive Maintenance in Railways: A Systematic Review of AI, BIM, and Digital Twins"
INMATEH Agricultural Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,INMATEH Agricultural Engineering,2068-4215; 2068-2239,INMA Bucharest-Romania,1407,,RESEARCH PROGRESS AND CHALLENGES OF DIGITAL TWIN TECHNOLOGY IN THE FIELD OF AGRICULTURAL MACHINERY TOOL WEAR
Innovations in Pedagogy and Technology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Innovations in Pedagogy and Technology,3093-7175,Zhongyu International Education Centre (M) Sdn Bhd,56,,Foundations for Post-Disciplinary and Transdisciplinary Education for Next-Generation Cyber-Physical Systems
Innovative economics and management,1,1,0,1,OpenAlex,exact_crossref_journal_match,Innovative economics and management,2449-2418; 2449-2604,Batumi Navigation Teaching University,270,,Transformation of International Marketing of Companies in the Context of Sustainable Development and Economic Digitalization
International Journal of Academic and Industrial Research Innovations(IJAIRI),1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Academic and Industrial Research Innovations(IJAIRI),3049-2343,National Education Services,317,,"Artificial Intelligence for Autonomous Manufacturing, Predictive Maintenance and Real-Time Quality Assurance"
International Journal of AI for Materials and Design,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of AI for Materials and Design,3041-0746; 3029-2573,AccScience Publishing,44,,"Hybrid multimodal artificial intelligence, vision sensory, and robotic cyber-physical systems for plastic inspection and sorting in digital circular remanufacturing: A review"
International Journal of Applied and Behavioral Sciences,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Applied and Behavioral Sciences,3048-9083,NIILM University,89,,"Polymers in the 21st Century: Design, Functionality and Performance"
International Journal of Artificial Intelligence,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Artificial Intelligence,2407-7275; 2407-7275; 2686-3251,Lamintang Education and Training Centre,83,,Artificial Intelligence and Machine Learning Framework for Smart Manufacturing Optimization
International Journal of Automation and Digital Transformation,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Automation and Digital Transformation,2791-2957,Emirates Scholar,29,,"Systems Modelling Language-Driven Digital Twins - Applications, Challenges and Sustainability: A Comprehensive Review"
International Journal of Automotive Science And Technology,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Automotive Science And Technology,2587-0963; 2587-0963,International Journal of Automotive Science and Technology,375,,Optimizing Large-Scale Data Processing in Smart Manufacturing: A Benchmarking Study on Automotive Industry Data
International Journal of Computer Applications,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Computer Applications,0975-8887; 0975-8887,Foundation of Computer Science,26485,,Adaptive SKU Allocation in Mattress Manufacturing via Multi-Agent Reinforcement Learning under Dynamic Loading Conditions
International Journal of Computer Assisted Radiology and Surgery,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Computer Assisted Radiology and Surgery,1861-6410; 1861-6429,Springer-Verlag,3697,,TwinOR: photorealistic digital twins of dynamic operating rooms for embodied AI research
International Journal of Computer Engineering in Research Trends,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Computer Engineering in Research Trends,2349-7084,IJCERT Publication House,171,,Next-Generation ECE Hardware Framework for IoT Using Generative AI and Edge Intelligence for Real-Time Smart Applications
International Journal of Data Science and IoT Management System,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Data Science and IoT Management System,3068-272X,Zestera Publications,244,,An Adaptive Probabilistic and Sparse Learning Paradigm for High Dimensional Fault Diagnosis in Industrial Cyber-Physical Systems
International Journal of Economic Plants,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Economic Plants,2349-4727; 2349-4735,Puspa Publishing House,425,,Digital Twins in Agriculture: A Comprehensive Bibliometric Exploration of Applications and Future Trends
International journal of high school research,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of High School Research,2642-1054; 2642-1046,Terra Science and Education,981,,From Operations to Satisfaction: How Digital Twin Systems Shape Startup Success in the UAE’s Renewable Energy Sector
International Journal of Home Economics Hospitality and Allied Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Home Economics Hospitality and Allied Research,2971-5121; 3027-1819,"University of Nigeria, Department of Home Economics & Hospitality Management Education",149,,Role of Soft Robotics in 4D Clothing Assembly and Custom Fit: A Review
International Journal of Information Security,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Information Security,1615-5262; 1615-5270,Springer-Verlag,1330,,Explainable digital twin–driven ensemble anomaly detection framework for cyber-physical infrastructure security
International Journal of Innovations in Science Engineering and Management.,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Innovations in Science Engineering And Management,2583-7117,AG Publishing House,324,,Design and Development of Flexible Soft Robotic Grippers for Safe and Adaptive Human-Robot Interaction
International Journal of Innovative Research in Science Engineering and Technology,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Innovative Research in Science Engineering and Technology,2347-6710; 2319-8753,Ess and Ess Research Publications,1364,,Design and Implementation of a Low-Cost Prosthetic Twin System for Real-Time Motion Replication using ESP-NOW
International Journal of Mathematical Engineering and Management Sciences,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Mathematical Engineering and Management Sciences,2455-7749; 2455-7749,Ram Arti Publishers,839,,Touchless Quality Control in Pharma Using a Digital Twin–Driven Fuzzy Multi-Objective Optimization Framework for Risk-Aware Release Decisions
International Journal of Molecular Sciences,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Molecular Sciences,1422-0067,MDPI AG,111495,,3D Bioprinting Functional Engineered Heart Tissues
International Journal of Nanomedicine,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Nanomedicine,1176-9114; 1178-2013,Dove Medical Press,9175,,"Nanomedicine in 2026: Illustrative Quantitative Analyses of EPR Heterogeneity, Clinical Trial Attrition, and Emerging Horizons for Active Nanotherapeutics"
International Journal of Pharmaceutical Research and Applications,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Pharmaceutical Research and Applications,2456-4494,Quest Journals,1263,,A Review on 3d And 4d Printing of Pharmaceuticals: A Prospective Technology in Developing Personalized Formulations
International Journal of Pharmaceutical Research and Development,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Pharmaceutical Research and Development,2664-6862; 2664-6870,Comprehensive Publications,420,,"Artificial intelligence in modern pharmacy: Transforming discovery, clinical practice, and manufacturing"
International Journal of Pharmacy and Pharmaceutical Science,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Pharmacy and Pharmaceutical Science,2664-7222; 2664-7230,Comprehensive Publications,458,,Artificial intelligence technologies in drug discovery: Innovations and future challenges
International Journal of Scientific Development and Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Scientific Development and Research,2455-2631,IJ Research Organization,512,,APPLICATION OF MACHINE LEARINING AND COMPUTER MODELING IN METALLURGY COMPHERENSIVE REVIEW
International Journal of Scientific Research in Modern Science and Technology,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal of Scientific Research in Modern Science and Technology,2583-7605,Surya Publication,189,,A Review of Wire Arc Additive Manufacturing
International Journal of Social Robotics,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Social Robotics,1875-4791; 1875-4805,Springer-Verlag,1395,,Human Autonomy and Sense of Agency in Human-Robot Interaction: A Systematic Literature Review
International Journal of Soft Computing and Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Soft Computing and Engineering,2231-2307,Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP,169,,Digital Twin-Enabled Predictive Maintenance and Supply Chain Optimization for Fighter Aircraft
International Journal of Systems Assurance Engineering and Management,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal of Systems Assurance Engineering and Management,0975-6809; 0976-4348,Springer-Verlag,3244,,Intelligent PID-based control systems for adaptive and sustainable manufacturing
International Journal on Information Technologies and Security,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Journal on Information Technologies and Security,1313-8251,International Journal on Information Technologies and Security,151,,"Cybersecurity challenges in industry 5.0: Human centric security, converged vulnerabilities, and resilience by design in smart manufacturing"
International Journal on Science and Technology,1,1,1,0,OpenAlex,exact_crossref_journal_match,International Journal on Science and Technology,2229-7677,International Research Publication and Journals,3106,,Combination and Testing of Two Resins of 3D Printing Material: Comparison with ABS and PLA Materials
International Research Journal of Multidisciplinary Technovation,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Research Journal of Multidisciplinary Technovation,2582-1040,Asian Research Association,555,,A Hybrid Machine Learning and Swarm Optimization Framework for Real-Time Energy Prediction and Optimization in Additive Manufacturing
International Scientific Journal of Engineering and Management,1,1,0,1,OpenAlex,exact_crossref_journal_match,International Scientific Journal of Engineering and Management,2583-6129,Edtech Publishers (OPC) Private Limited,4400,,Technological Advancements in Operations and Supply Chain Management in Pharmaceutical Industry
Internet Archaeology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Internet Archaeology,1363-5387,Council for British Archaeology,961,,"Place, Identity and Wellbeing: Bradford and Beyond"
IoT,1,1,0,1,OpenAlex,exact_crossref_journal_match,IoT,2624-831X,MDPI AG,291,,"Internet of Things for Industry 4.0: A Systematic Literature Review of Technologies, Architectures, Applications, and Challenges"
ISIJ International,1,1,1,0,OpenAlex,exact_crossref_journal_match,ISIJ International,0915-1559; 1347-5460,The Iron and Steel Institute of Japan,9693,,Systematic study of rapid solidification in laser powder-bed fusion of stainless steels to verify applicability of columnar-equiaxed transition
"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences",1,1,0,1,OpenAlex,exact_crossref_journal_match,ISPRS Annals of the Photogrammetry Remote Sensing and Spatial Information Sciences,2194-9050,Copernicus GmbH,4382,,A Hybrid Digital Twin and AI Framework for Traffic Simulation and Route Finding
ISPRS International Journal of Geo-Information,1,1,0,1,OpenAlex,exact_crossref_journal_match,ISPRS International Journal of Geo-Information,2220-9964,MDPI AG,6005,,"Shedding Light on Explainable AI: Insights, Challenges, and the Future of Infrastructure Management"
JOURNAL OF ADVANCE AND FUTURE RESEARCH,1,1,0,1,OpenAlex,exact_crossref_journal_match,JOURNAL OF ADVANCE AND FUTURE RESEARCH,2984-889X,IJ Research Organization,977,,From RF Channel to Federated Defence: An Extended Review of Digital Twin Methods in 6G-Enabled Internet of Vehicles
Journal of Applied Mechanics,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Applied Mechanics,0021-8936; 1528-9036,ASME International,15911,,Multistep and Elastically Stable Mechanical Metamaterials
Journal of Artificial Intelligence for Automation,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Artificial Intelligence for Automation,3083-2837,Scilight Press Pty Ltd,11,,Transition of Architecture of Industrial Cyber-Physical Systems (iCPS) from Hierarchy to Cloud-Edge-Device
Journal of Biomedical Materials Research Part A,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Biomedical Materials Research Part A,1549-3296; 1552-4965,Wiley (John Wiley & Sons),8308,,Rapid and Inexpensive Image‐Guided Grayscale Biomaterial Customization via <scp>LCD</scp> Printing
Journal of Composites and Biodegradable Polymers,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Composites and Biodegradable Polymers,2311-8717,Savvy Science Publisher,102,,"Fused Deposition Modelling of Wood-Plastic Composites: Materials, Processes, and Future Directions"
"Journal of computer, software and program.",1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Computer Software and Program,3007-9756,Stecab Publishing,25,,Cyber-Resilient IoT-Driven SCADA Integration for Secure and Intelligent Fuel Station Monitoring and Predictive Analysis
Journal of Craniofacial Surgery,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Craniofacial Surgery,1049-2275; 1536-3732,Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins,19226,,3D Printed Beta-TCP Ceramic Bone Replacement Manufactured by Lithography-Based Ceramic Manufacturing: A Short-Term Pilot Study
Journal of Ecological Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Ecological Engineering,2081-139X; 2299-8993,WNGB Scientific Publishing House Sp. z o.o.,3446,,A robust offline digital twin for regenerative wastewater treatment: Multi-pollutant stress testing and resilience analysis
Journal of Educational Evaluation for Health Professions,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Educational Evaluation for Health Professions,1738-1339; 1975-5937,Korea Health Personnel Licensing Examination Institute,612,,Analysis of digital twin applications in nursing practice and education: a scoping review
Journal of Engineering and Technology (JET),1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Engineering and Technology (JET),2180-3811; 2289-814X,Penerbit Universiti Teknikal Malaysia Melaka Press,77,,MECHANICAL PERFORMANCE AND SHAPE MEMORY BEHAVIOR OF 4D PRINTING POLYLACTIC ACID/BIOBASED THERMOPLASTIC POLYURETHANE
Journal of Field Robotics,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Field Robotics,1556-4959; 1556-4967,Wiley (John Wiley & Sons),1947,,Innovative Soft Material‐Assisted Robot Grasping Devices: From Design Concept to Fabrication and Application Scenarios
Journal of Forensic and Legal Medicine,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Forensic and Legal Medicine,1752-928X,Elsevier,3029,,Digital twin technology in forensic mental health
Journal of Information Systems and Informatics,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Information Systems and Informatics,2656-5935; 2656-4882,Asosiasi Doktor Sistem Informasi Indonesia,803,,Large Language Models for Intelligent Decision Support in Inventory and Supply Chain Operations: A Systematic Literature Review
Journal of Information Technology in Construction,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Information Technology in Construction,1874-4753,International Council for Research and Innovation in Building and Construction,362,,Digital twins in civil engineering
Journal of Infrastructure Preservation and Resilience,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Infrastructure Preservation and Resilience,2662-2521,Springer (Biomed Central Ltd.),185,,Leveraging emerging technologies to address the crisis of aging concrete infrastructure
Journal of Intelligent Information Systems,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Intelligent Information Systems,0925-9902; 1573-7675,Springer-Verlag,1417,,Semantic modelling of AI-integrated digital twins for enhanced transparency
Journal of Machine Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Machine Engineering,1895-7595; 2391-8071,Wroclaw Board of Scientific Technical Societies Federation NOT,362,,Planning-Based Decision Space Exploration for Digital Twins in Immature Production Processes
Journal of Materials and Mechatronics A,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Materials and Mechatronics A,2717-8811,Journal of Materials and Mechatronics: A,129,,Development Of Electronically Controlled Dual-Component Continuous Powder Feeder To Build Functional Graded Materials With Additive Manufacturing Process
Journal of Materials Science Composites,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Materials Science Composites,3059-3212,Springer (Biomed Central Ltd.),33,,"Atomic-scale characterization: a review of advances in microscopy, spectroscopy, and machine learning"
Journal of Materials Science Materials in Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Materials Science Materials in Engineering,3004-8958,Springer (Biomed Central Ltd.),313,,A review article on the assessment of additive manufacturing
Journal of Mechanical Engineering and Manufacturing,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Mechanical Engineering and Manufacturing,2982-3544,Scilight Press Pty Ltd,34,,"Machine Learning for Process Optimization and Defect Detection in Metal Additive Manufacturing: A Critical Review of Algorithms, In-Situ Monitoring Strategies, and Quality Assurance Frameworks"
Journal of Mechanical Engineering Science and Innovation,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Mechanical Engineering Science and Innovation,2776-933X; 2776-3536,Institut Teknologi Adhi Tama Surabaya,72,,Comparative Performance of Material Extrusion and Vat Photopolymerization Systems for Automotive Product
Journal of Micromechanics and Microengineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Micromechanics and Microengineering,0960-1317; 1361-6439,IOP Publishing,7537,,Embedded electrohydrodynamic printing of magnetically responsive microspheres
Journal of Minimally Invasive Gynecology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Minimally Invasive Gynecology,1553-4650,Elsevier,18544,,Static Digital Twins for Surgical Planning in Complex Gynecologic Cancer Recurrence: A Proof-of-Concept Feasibility Study
Journal of Personalized Medicine,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Personalized Medicine,2075-4426,MDPI AG,7862,,"Integrating AI Segmentation, Simulated Digital Twins, and Extended Reality into Medical Education: A Narrative Technical Review and Proof-of-Concept Case Study"
Journal of Pharmaceutical and BioTech Industry,1,1,1,0,OpenAlex,exact_crossref_journal_match,Journal of Pharmaceutical and BioTech Industry,2813-9380,MDPI AG,37,,Precision and Personalized Medicine in Transdermal Drug Delivery Systems: Integrating AI Approaches
Journal of Plant Electrobiology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Plant Electrobiology,,Institute of Central Computation and Knowledge Inc,0,,Digital Monitoring of Electromagnetic Radiation Associated with Biodiversity (One Health) in Natural Parks: A Narrative Review
Journal of Plant Science and Phytopathology,1,1,0,1,OpenAlex,exact_crossref_journal_match,Journal of Plant Science and Phytopathology,2575-0135,Heighten Science Publications Corporation,184,,Analytical Report on Digital Twin Technology: Status and Future Direction
