venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,openalex_lookup_status,openalex_match_display_name,openalex_match_id,openalex_match_issn_l,openalex_match_issn,openalex_match_host_organization,openalex_works_count,openalex_lookup_similarity,openalex_lookup_note
Transforming Industry using Digital Twin Technology,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Translational Oncology,1,1,1,0,Crossref,exact_openalex_source_match,Translational Oncology,https://openalex.org/S106638657,1936-5233,1936-5233; 1944-7124,Elsevier BV,3174,1.000,normalized venue title exactly matched an OpenAlex source display_name
"Volume 11: Safety Engineering, Risk and Reliability Analysis; Research Posters",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Volume 1: 27th International Conference on Advanced Vehicle Technologies (AVT),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Volume 1: Codes & Standards; Computer Technology & Bolted Joints,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"Volume 1: Smart Additive Manufacturing; Multi-Material Processing in AM; Advances in Metal AM Processes; In Situ Monitoring, Non-Destructive Evaluation, and Qualification for AM; Advances in Manufacturing and Processing of Polymers and Composites; Laser-Based Advanced Manufacturing and Material Processing; Smart, Innovative, and Low-Cost Tooling Systems for Advanced Materials Manufacturing; Bio-Manufacturing of Engineered Living Materials",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Volume 2: Manufacturing Equipment and Automation; Manufacturing Processes; Manufacturing Systems; Nano/Micro/Meso Manufacturing; Quality & Reliability,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Volume 3B: 50th Design Automation Conference (DAC),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Volume 4: Gas Turbines; Pressure Technologies; Robotics & Automation,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"Volume 5: Dynamics, Vibration, and Control",1,1,1,0,Crossref,exact_openalex_source_match,"Volume 5: Dynamics, Vibration, and Control",https://openalex.org/S4363607108,,,,263,1.000,normalized venue title exactly matched an OpenAlex source display_name
Volume 7: Engineering Education; Fluids Engineering,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"Volume 8: Structures and Dynamics — Bearing & Seal Dynamics; Emerging Methods in Engineering Design, Analysis and Additive Manufacturing; Fatigue, Fracture & Life Prediction; Probabilistic Methods; Rotordynamics",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Warehousing and Material Handling Systems for the Digital Industry,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Welding in the World,1,1,0,1,Crossref,exact_openalex_source_match,Welding in the World,https://openalex.org/S30799303,0043-2288,0043-2288; 1878-6669,Springer Science+Business Media,3295,1.000,normalized venue title exactly matched an OpenAlex source display_name
